career_path,skill,skill_type
Database Administrator,Backup & Recovery,Core
Database Administrator,PostgreSQL,Advanced
Database Administrator,MySQL,Advanced
Database Administrator,Database Security,Advanced
Database Administrator,Performance Tuning,Advanced
Computer Vision Engineer,Python,Core
Computer Vision Engineer,OpenCV,Core
Computer Vision Engineer,Deep Learning,Core
Computer Vision Engineer,Computer Vision,Core
Computer Vision Engineer,PyTorch,Advanced
Computer Vision Engineer,TensorFlow,Advanced
Computer Vision Engineer,YOLO,Advanced
Computer Vision Engineer,Image Processing,Advanced
NLP Engineer,Python,Core
NLP Engineer,NLP,Core
NLP Engineer,Machine Learning,Core
NLP Engineer,Deep Learning,Core
NLP Engineer,PyTorch,Advanced
NLP Engineer,Transformers,Advanced
NLP Engineer,LLM/GenAI,Advanced
NLP Engineer,Hugging Face,Advanced
MLOps Engineer,Python,Core
MLOps Engineer,Machine Learning,Core
MLOps Engineer,Git,Core
MLOps Engineer,Docker,Core
MLOps Engineer,MLflow,Advanced
MLOps Engineer,Kubernetes,Advanced
MLOps Engineer,CI/CD,Advanced
MLOps Engineer,Cloud,Advanced
QA / Automation Engineer,Testing,Core
QA / Automation Engineer,Python,Core
QA / Automation Engineer,SQL,Core
QA / Automation Engineer,Git,Core
QA / Automation Engineer,Selenium,Advanced
QA / Automation Engineer,API Testing,Advanced
QA / Automation Engineer,PyTest,Advanced
QA / Automation Engineer,CI/CD,Advanced
UI/UX Designer,UI Design,Core
UI/UX Designer,UX Design,Core
UI/UX Designer,Wireframing,Core
UI/UX Designer,Prototyping,Core
UI/UX Designer,Figma,Advanced
UI/UX Designer,User Research,Advanced
UI/UX Designer,Design Systems,Advanced
UI/UX Designer,Usability Testing,Advanced
Product Analyst,SQL,Core
Product Analyst,Excel,Core
Product Analyst,Statistics,Core
Product Analyst,Data Visualization,Core
Product Analyst,Product Analytics,Advanced
Product Analyst,A/B Testing,Advanced
Product Analyst,Power BI,Advanced
Product Analyst,Python,Advanced
